name,type,sql,from,to
Update wt_ancillary_charges_d,Update,,['Select columns comes from athena'],['Update wt_availability_code_d']
Get Data from lt_announcement_status,TableInput,"SELECT
   TRIM(source_system_cd) AS source_system_cd
  ,TRIM(table_name) AS table_name
  ,TRIM(system_field_name) AS system_field_name
  ,IF(system_cd=' ', system_cd, TRIM(system_cd)) AS system_cd
  ,TRIM(system_name) AS system_name
  ,TRIM(system_desc) AS system_desc
  ,TRIM(modified_by) AS modified_by
  ,TRIM(modified_dt) AS modified_dt
FROM hrst_data.lt_announcement_status",['Update wt_availability_code_d'],['Insert into wt_availability_code_d']
Insert into wt_announcement_status_d,TableOutput,,['Get Data from lt_bad_payment_reason'],['Replace Null values']
Replace Null values,IfNull,,['Replace Null values'],['Select columns comes from athena']
Select columns comes from athena,SelectValues,,['Select columns comes from athena'],['Update wt_bad_payment_reason_d']
Update wt_announcement_status_d,Update,,['Update wt_bad_payment_reason_d'],['Insert into wt_bad_payment_reason_d']
Get Data from lt_application,TableInput,"SELECT
   TRIM(source_system_cd) AS source_system_cd
  ,TRIM(table_name) AS table_name
  ,TRIM(system_field_name) AS system_field_name
  ,IF(system_cd=' ', system_cd, TRIM(system_cd)) AS system_cd
  ,TRIM(system_name) AS system_name
  ,TRIM(system_desc) AS system_desc
  ,TRIM(modified_by) AS modified_by
  ,TRIM(modified_dt) AS modified_dt
FROM hrst_data.lt_application 
WHERE LENGTH(source_system_cd) > 0  -- this condition has temporarily been added because source contains bad data. ",['Get Data from lt_bad_payment_type'],['Replace Null values']
Insert into wt_application_d,TableOutput,,['Replace Null values'],['Select columns comes from athena']
Replace Null values,IfNull,,['Select columns comes from athena'],['Update wt_bad_payment_type_d']
Select columns comes from athena,SelectValues,,['Update wt_bad_payment_type_d'],['Insert into wt_bad_payment_type_d']
Update wt_application_d,Update,,['Get Data from lt_bad_type'],['Replace Null values']
Get Data from lt_availability_code,TableInput,"SELECT
   TRIM(source_system_cd) AS source_system_cd
  ,TRIM(table_name) AS table_name
  ,TRIM(system_field_name) AS system_field_name
  ,IF(system_cd=' ', system_cd, TRIM(system_cd)) AS system_cd
  ,TRIM(system_name) AS system_name
  ,TRIM(system_desc) AS system_desc
  ,TRIM(modified_by) AS modified_by
  ,TRIM(modified_dt) AS modified_dt
FROM hrst_data.lt_availability_code",['Replace Null values'],['Select columns comes from athena']
Insert into wt_availability_code_d,TableOutput,,['Select columns comes from athena'],['Update wt_bad_type_d']
Replace Null values,IfNull,,['Update wt_bad_type_d'],['Insert into wt_bad_type_d']
Select columns comes from athena,SelectValues,,['Get Data from lt_balance_surplus'],['Replace Null values']
Update wt_availability_code_d,Update,,['Select columns comes from athena'],['Update wt_balance_surplus_d']
Get Data from lt_bad_payment_reason,TableInput,"SELECT
   TRIM(source_system_cd) AS source_system_cd
  ,TRIM(table_name) AS table_name
  ,TRIM(system_field_name) AS system_field_name
  ,IF(system_cd=' ', system_cd, TRIM(system_cd)) AS system_cd
  ,TRIM(system_name) AS system_name
  ,TRIM(system_desc) AS system_desc
  ,TRIM(modified_by) AS modified_by
  ,TRIM(modified_dt) AS modified_dt
FROM hrst_data.lt_bad_payment_reason 
WHERE LENGTH(source_system_cd) > 0 --this condition has temporarily been added because source contains bad data.",['Update wt_balance_surplus_d'],['Insert into wt_balance_surplus_d']
Insert into wt_bad_payment_reason_d,TableOutput,,['Replace Null values'],['Select columns comes from athena']
Replace Null values,IfNull,,['Get Data from DL'],['Replace Null values']
Select columns comes from athena,SelectValues,,['Replace Null values'],['Select columns comes from DL']
Update wt_bad_payment_reason_d,Update,,['Select columns comes from DL'],['Update wt_brand_d']
Get Data from lt_bad_payment_type,TableInput,"SELECT
 TRIM(source_system_cd) AS source_system_cd
  ,TRIM(table_name) AS table_name
  ,TRIM(system_field_name) AS system_field_name
  ,IF(system_cd=' ', system_cd, TRIM(system_cd)) AS system_cd
  ,TRIM(system_name) AS system_name
  ,TRIM(system_desc) AS system_desc
  ,TRIM(modified_by) AS modified_by
  ,TRIM(modified_dt) AS modified_dt
FROM hrst_data.lt_bad_payment_type",['Update wt_brand_d'],['Insert into wt_brand_d']
Insert into wt_bad_payment_type_d,TableOutput,,['Update wt_campaign_d'],['Insert into wt_campaign_d']
Replace Null values,IfNull,,['Get staged data'],['Update wt_campaign_d']
Select columns comes from athena,SelectValues,,['Get Data from lt_change_reason'],['Replace Null values']
Update wt_bad_payment_type_d,Update,,['Replace Null values'],['Select columns comes from athena']
Get Data from lt_bad_type,TableInput,"SELECT
   TRIM(source_system_cd) AS source_system_cd
  ,TRIM(table_name) AS table_name
  ,TRIM(system_field_name) AS system_field_name
  ,IF(system_cd=' ', system_cd, TRIM(system_cd)) AS system_cd
  ,TRIM(system_name) AS system_name
  ,TRIM(system_desc) AS system_desc
  ,TRIM(modified_by) AS modified_by
  ,TRIM(modified_dt) AS modified_dt
FROM hrst_data.lt_bad_type",['Select columns comes from athena'],['Update wt_change_reason_d']
Insert into wt_bad_type_d,TableOutput,,['Update wt_change_reason_d'],['Insert into wt_change_reason_d']
Replace Null values,IfNull,,['Get Data from lt_charge'],['Replace Null values']
Select columns comes from athena,SelectValues,,['Replace Null values'],['Select columns comes from athena']
Update wt_bad_type_d,Update,,['Select columns comes from athena'],['Update wt_charge_d']
Get Data from lt_balance_surplus,TableInput,"SELECT
   TRIM(source_system_cd) AS source_system_cd
  ,TRIM(table_name) AS table_name
  ,TRIM(system_field_name) AS system_field_name
  ,IF(system_cd=' ', system_cd, TRIM(system_cd)) AS system_cd
  ,TRIM(system_name) AS system_name
  ,TRIM(system_desc) AS system_desc
  ,TRIM(modified_by) AS modified_by
  ,TRIM(modified_dt) AS modified_dt
FROM hrst_data.lt_balance_surplus 
WHERE LENGTH(source_system_cd) > 0 --this condition has temporarily been added because source contains bad data.",['Update wt_charge_d'],['Insert into wt_charge_d']
Insert into wt_balance_surplus_d,TableOutput,,['Get staged data'],['Update wt_continuity_plan_d']
Replace Null values,IfNull,,['Update wt_continuity_plan_d'],['Insert into wt_continuity_plan_d']
Select columns comes from athena,SelectValues,,['Get Data from lt_continuity_switch'],['Replace Null values']
Update wt_balance_surplus_d,Update,,['Replace Null values'],['Select columns comes from athena']
Get Data from DL,TableInput,"SELECT
   TRIM(source_system_cd) AS source_system_cd
  ,TRIM(table_name) AS table_name
  ,TRIM(system_field_name) AS system_field_name
  ,TRIM(company_id) AS company_id
  ,IF(system_cd=' ', system_cd, TRIM(system_cd)) AS system_cd
  ,TRIM(system_name) AS system_name
  ,TRIM(system_desc) AS system_desc
  ,TRIM(modified_by) AS modified_by
  ,TRIM(modified_dt) AS modified_dt
FROM lt_brand
WHERE source_system_cd IN ('SERV','SERVPF') -- where condition need to be removed,it has temporarily been added because source has bad data.",['Select columns comes from athena'],['Update wt_continuity_switch_d']
Insert into wt_brand_d,TableOutput,,['Update wt_continuity_switch_d'],['Insert into wt_continuity_switch_d']
Replace Null values,IfNull,,['Get Data from lt_currency_type'],['Replace Null values']
Select columns comes from DL,SelectValues,,['Replace Null values'],['Replace Empty code to USD']
Update wt_brand_d,Update,,['Replace Empty code to USD'],['Select columns comes from athena']
Get staged data,TableInput,"SELECT	
	IFNULL(client_abbr,'NA') AS client_abbr
   ,IFNULL(product_line_abbr,'NA') AS product_line_abbr
   ,campaign_name
   ,IFNULL(campaign_cd,'NA') AS campaign_cd
FROM lt_campaign_stg",['Select columns comes from athena'],['Update wt_currency_type_d']
Insert into wt_campaign_d,TableOutput,,['Update wt_currency_type_d'],['Insert into wt_currency_type_d']
Update wt_campaign_d,Update,,['Get Data from lt_delivery_method'],['Replace Null values']
Get Data from lt_change_reason,TableInput,"SELECT
   TRIM(source_system_cd) AS source_system_cd
  ,TRIM(table_name) AS table_name
  ,TRIM(system_field_name) AS system_field_name
  ,IF(system_cd=' ', system_cd, TRIM(system_cd)) AS system_cd
  ,TRIM(system_name) AS system_name
  ,TRIM(system_desc) AS system_desc
  ,TRIM(modified_by) AS modified_by
  ,TRIM(modified_dt) AS modified_dt
FROM hrst_data.lt_change_reason
WHERE LENGTH(source_system_cd) > 0",['Replace Null values'],['Select columns comes from athena']
Insert into wt_change_reason_d,TableOutput,,['Select columns comes from athena'],['Update wt_delivery_method_d']
Replace Null values,IfNull,,['Update wt_delivery_method_d'],['Insert into wt_delivery_method_d']
Select columns comes from athena,SelectValues,,['Get Data from lt_detail_tax_exempt_status'],['Replace Null values']
Update wt_change_reason_d,Update,,['Replace Null values'],['Select columns comes from athena']
Get Data from lt_charge,TableInput,"SELECT
 TRIM(source_system_cd) AS source_system_cd
  ,TRIM(table_name) AS table_name
  ,TRIM(system_field_name) AS system_field_name
  ,IF(system_cd=' ', system_cd, TRIM(system_cd)) AS system_cd
  ,TRIM(system_name) AS system_name
  ,TRIM(system_desc) AS system_desc
  ,TRIM(modified_by) AS modified_by
  ,TRIM(modified_dt) AS modified_dt
FROM hrst_data.lt_charge
WHERE LENGTH(source_system_cd) > 0--  this condition has temporarily been added because source contains bad data.",['Select columns comes from athena'],['Update wt_detail_tax_exempt_status_d']
Insert into wt_charge_d,TableOutput,,['Update wt_detail_tax_exempt_status_d'],['Insert into wt_detail_tax_exempt_status_d']
Replace Null values,IfNull,,['Get Data from lt_display_type'],['Replace Null values']
Select columns comes from athena,SelectValues,,['Replace Null values'],['Select columns comes from athena']
Update wt_charge_d,Update,,['Select columns comes from athena'],['Update wt_display_type_d']
Get staged data,TableInput,"SELECT
   client_abbr
  ,product_line_abbr
  ,continuity_plan_cd
  ,continuity_plan_name
FROM lt_continuity_plan_stg
",['Update wt_display_type_d'],['Insert into wt_display_type_d']
Insert into wt_continuity_plan_d,TableOutput,,['Get Data from lt_dummy_key_switch'],['Replace Null values']
Update wt_continuity_plan_d,Update,,['Replace Null values'],['Select columns comes from athena']
Get Data from lt_continuity_switch,TableInput,"SELECT
    TRIM(source_system_cd) AS source_system_cd
  ,TRIM(table_name) AS table_name
  ,TRIM(system_field_name) AS system_field_name
  ,IF(system_cd=' ', system_cd, TRIM(system_cd)) AS system_cd
  ,TRIM(system_name) AS system_name
  ,TRIM(system_desc) AS system_desc
  ,TRIM(modified_by) AS modified_by
  ,TRIM(modified_dt) AS modified_dt
FROM hrst_data.lt_continuity_switch",['Select columns comes from athena'],['Update wt_dummy_key_switch_d']
Insert into wt_continuity_switch_d,TableOutput,,['Update wt_dummy_key_switch_d'],['Insert into wt_dummy_key_switch_d']
Replace Null values,IfNull,,['Get staged data'],['Replace Null values']
Select columns comes from athena,SelectValues,,['Replace Null values'],['Convert email_address to MD5 hash value']
Update wt_continuity_switch_d,Update,,['Insert into wt_email_d'],['Execute SQL script']
Get Data from lt_currency_type,TableInput,"SELECT
   TRIM(source_system_cd) AS source_system_cd
  ,TRIM(table_name) AS table_name
  ,TRIM(system_field_name) AS system_field_name
  ,IF(system_cd=' ', system_cd, TRIM(system_cd)) AS system_cd
  ,TRIM(system_name) AS system_name
  ,TRIM(system_desc) AS system_desc
  ,TRIM(modified_by) AS modified_by
  ,TRIM(modified_dt) AS modified_dt
FROM hrst_data.lt_currency_type",['Convert email_address to MD5 hash value'],['Mail Validator']
Insert into wt_currency_type_d,TableOutput,,['Mail Validator'],['Replace in string']
Replace Empty code to USD,ValueMapper,,['Replace in string'],['Select values']
Replace Null values,IfNull,,['Select values'],['Insert into wt_email_d']
Select columns comes from athena,SelectValues,,['Get data from lt_enlist'],['Data_Type_Conversion_Rename']
Update wt_currency_type_d,Update,,['Data_Type_Conversion_Rename'],['Null_Handller']
Get Data from lt_delivery_method,TableInput,"SELECT
   TRIM(source_system_cd) AS source_system_cd
  ,TRIM(table_name) AS table_name
  ,TRIM(system_field_name) AS system_field_name
  ,IF(system_cd=' ', system_cd, TRIM(system_cd)) AS system_cd
  ,TRIM(system_name) AS system_name
  ,TRIM(system_desc) AS system_desc
  ,TRIM(modified_by) AS modified_by
  ,TRIM(modified_dt) AS modified_dt
FROM hrst_data.lt_delivery_method",['Null_Handller'],['Upd_wt_enlist_d']
Insert into wt_delivery_method_d,TableOutput,,['Upd_wt_enlist_d'],['Ins_wt_enlist_d']
Replace Null values,IfNull,,['Get data from lt_ftc_accept_delay'],['Data_Type_Conversion_Rename']
Select columns comes from athena,SelectValues,,['Data_Type_Conversion_Rename'],['Null_Handller']
Update wt_delivery_method_d,Update,,['Null_Handller'],['Upd_wt_ftc_accept_delay_d']
Get Data from lt_detail_tax_exempt_status,TableInput,"SELECT
 TRIM(source_system_cd) AS source_system_cd
  ,TRIM(table_name) AS table_name
  ,TRIM(system_field_name) AS system_field_name
  ,IF(system_cd=' ', system_cd, TRIM(system_cd)) AS system_cd
  ,TRIM(system_name) AS system_name
  ,TRIM(system_desc) AS system_desc
  ,TRIM(modified_by) AS modified_by
  ,TRIM(modified_dt) AS modified_dt
FROM hrst_data.lt_detail_tax_exempt_status",['Upd_wt_ftc_accept_delay_d'],['Ins_wt_ftc_accept_delay_d']
Insert into wt_detail_tax_exempt_status_d,TableOutput,,['Get Data from lt_gift_kit'],['Replace Null values']
Replace Null values,IfNull,,['Replace Null values'],['Select columns comes from athena']
Select columns comes from athena,SelectValues,,['Select columns comes from athena'],['Update wt_gift_kit_d']
Update wt_detail_tax_exempt_status_d,Update,,['Update wt_gift_kit_d'],['Insert into wt_gift_kit_d']
Get Data from lt_display_type,TableInput,"SELECT
   TRIM(source_system_cd) AS source_system_cd
  ,TRIM(table_name) AS table_name
  ,TRIM(system_field_name) AS system_field_name
  ,IF(system_cd=' ', system_cd, TRIM(system_cd)) AS system_cd
  ,TRIM(system_name) AS system_name
  ,TRIM(system_desc) AS system_desc
  ,TRIM(modified_by) AS modified_by
  ,TRIM(modified_dt) AS modified_dt
FROM hrst_data.lt_display_type",['Get Data from lt_installments_allowed'],['Replace Null values']
Insert into wt_display_type_d,TableOutput,,['Replace Null values'],['Select columns comes from athena']
Replace Null values,IfNull,,['Select columns comes from athena'],['Update wt_installments_allowed_d']
Select columns comes from athena,SelectValues,,['Update wt_installments_allowed_d'],['Insert into wt_installments_allowed_d']
Update wt_display_type_d,Update,,['Get Data from lt_invoice_status'],['Replace Null values']
Get Data from lt_dummy_key_switch,TableInput,"SELECT
   TRIM(source_system_cd) AS source_system_cd
  ,TRIM(table_name) AS table_name
  ,TRIM(system_field_name) AS system_field_name
  ,IF(system_cd=' ', system_cd, TRIM(system_cd)) AS system_cd
  ,TRIM(system_name) AS system_name
  ,TRIM(system_desc) AS system_desc
  ,TRIM(modified_by) AS modified_by
  ,TRIM(modified_dt) AS modified_dt
FROM hrst_data.lt_dummy_key_switch",['Replace Null values'],['Select columns comes from athena']
Insert into wt_dummy_key_switch_d,TableOutput,,['Select columns comes from athena'],['Update wt_invoice_status_d']
Replace Null values,IfNull,,['Update wt_invoice_status_d'],['Insert into wt_invoice_status_d']
Select columns comes from athena,SelectValues,,['Get Data from lt_item_sort_type'],['Replace Null values']
Update wt_dummy_key_switch_d,Update,,['Replace Null values'],['Select columns comes from athena']
Convert email_address to MD5 hash value,CheckSum,,['Select columns comes from athena'],['Update wt_item_sort_type_d']
Execute SQL script,ExecSQL,"SET @email_validStream = '?';
SET @email_authStream = '?';

UPDATE wt_email_d
	SET email_valid = IF(@email_validStream = 'N',@email_validStream,email_valid),
	email_auth = IF(@email_authStream = 'N',@email_authStream,email_auth)
WHERE email_address = '?'",['Update wt_item_sort_type_d'],['Insert into wt_item_sort_type_d']
Get staged data,TableInput,"SELECT DISTINCT 
	 email_address
	,MIN(email_auth) AS email_auth
    ,domain
	,canadian_flg
    ,0 AS deliverable_ind
    ,'CDS' AS email_source
FROM 
     lt_servpf_email_stg
GROUP BY email_address, domain, canadian_flg ",['Get Data from lt_miscellaneous_charge'],['Replace Null values']
Insert into wt_email_d,TableOutput,,['Replace Null values'],['Select columns comes from athena']
Mail Validator,MailValidator,,['Select columns comes from athena'],['Update wt_miscellaneous_charge_d']
Replace Null values,IfNull,,['Update wt_miscellaneous_charge_d'],['Insert into wt_miscellaneous_charge_d']
Replace in string,ReplaceString,,['Get Data from lt_multimarket_promo_status'],['Replace Null values']
Select values,SelectValues,,['Replace Null values'],['Select columns comes from athena']
Data_Type_Conversion_Rename,SelectValues,,['Select columns comes from athena'],['Update wt_multimarket_promo_status_d']
Get data from lt_enlist,TableInput,"SELECT
   TRIM(source_system_cd) AS source_system_cd
  ,TRIM(table_name) AS table_name
  ,TRIM(system_field_name) AS system_field_name
  ,IF(system_cd=' ', system_cd, TRIM(system_cd)) AS system_cd
  ,TRIM(system_name) AS system_name
  ,TRIM(system_desc) AS system_desc
  ,TRIM(modified_by) AS modified_by
  ,TRIM(modified_dt) AS modified_dt
FROM hrst_data.lt_enlist",['Update wt_multimarket_promo_status_d'],['Insert into wt_multimarket_promo_status_d']
Ins_wt_enlist_d,TableOutput,,['Get Data from lt_new_plan_status '],['Replace Null values']
Null_Handller,IfNull,,['Select columns comes from athena'],['Update wt_new_plan_status_d']
Upd_wt_enlist_d,Update,,['Update wt_new_plan_status_d'],['Insert into wt_new_plan_status_d']
Data_Type_Conversion_Rename,SelectValues,,['Replace Null values'],['Select columns comes from athena']
Get data from lt_ftc_accept_delay,TableInput,"SELECT
   TRIM(source_system_cd) AS source_system_cd
  ,TRIM(table_name) AS table_name
  ,TRIM(system_field_name) AS system_field_name
  ,IF(system_cd=' ', system_cd, TRIM(system_cd)) AS system_cd
  ,TRIM(system_name) AS system_name
  ,TRIM(system_desc) AS system_desc
  ,TRIM(modified_by) AS modified_by
  ,TRIM(modified_dt) AS modified_dt
FROM hrst_data.lt_ftc_accept_delay",['Get Data from lt_not_pulled_reason'],['Replace Null values']
Ins_wt_ftc_accept_delay_d,TableOutput,,['Replace Null values'],['Select columns comes from athena']
Null_Handller,IfNull,,['Select columns comes from athena'],['Update wt_not_pulled_reason_d']
Upd_wt_ftc_accept_delay_d,Update,,['Update wt_not_pulled_reason_d'],['Insert into wt_not_pulled_reason_d']
Get Data from lt_gift_kit,TableInput,"SELECT
   TRIM(source_system_cd) AS source_system_cd
  ,TRIM(table_name) AS table_name
  ,TRIM(system_field_name) AS system_field_name
  ,IF(system_cd=' ', system_cd, TRIM(system_cd)) AS system_cd
  ,TRIM(system_name) AS system_name
  ,TRIM(system_desc) AS system_desc
  ,TRIM(modified_by) AS modified_by
  ,TRIM(modified_dt) AS modified_dt
FROM hrst_data.lt_gift_kit
",['Get Data from lt_old_plan_status'],['Replace Null values']
Insert into wt_gift_kit_d,TableOutput,,['Replace Null values'],['Select columns comes from athena']
Replace Null values,IfNull,,['Select columns comes from athena'],['Update wt_old_plan_status_d']
Select columns comes from athena,SelectValues,,['Update wt_old_plan_status_d'],['Insert into wt_old_plan_status_d']
Update wt_gift_kit_d,Update,,['Get Data from lt_order_payment'],['Replace Null values']
Get Data from lt_installments_allowed,TableInput,"SELECT
   TRIM(source_system_cd) AS source_system_cd
  ,TRIM(table_name) AS table_name
  ,TRIM(system_field_name) AS system_field_name
  ,IF(system_cd=' ', system_cd, TRIM(system_cd)) AS system_cd
  ,TRIM(system_name) AS system_name
  ,TRIM(system_desc) AS system_desc
  ,TRIM(modified_by) AS modified_by
  ,TRIM(modified_dt) AS modified_dt
FROM hrst_data.lt_installments_allowed",['Select columns comes from athena'],['Update wt_order_payment_d']
Insert into wt_installments_allowed_d,TableOutput,,['Update wt_order_payment_d'],['Insert into wt_order_payment_d']
Replace Null values,IfNull,,['Replace Null values'],['Select columns comes from athena']
Select columns comes from athena,SelectValues,,['Get Data from DL'],['Sort rows selected from DL']
Update wt_installments_allowed_d,Update,,['Replace Null values'],['Select columns comes from DL']
Get Data from lt_invoice_status,TableInput,"SELECT
   TRIM(source_system_cd) AS source_system_cd
  ,TRIM(table_name) AS table_name
  ,TRIM(system_field_name) AS system_field_name
  ,IF(system_cd=' ', system_cd, TRIM(system_cd)) AS system_cd
  ,TRIM(system_name) AS system_name
  ,TRIM(system_desc) AS system_desc
  ,TRIM(modified_by) AS modified_by
  ,TRIM(modified_dt) AS modified_dt
FROM hrst_data.lt_invoice_status",['Sort rows selected from DL'],['Replace Null values']
Insert into wt_invoice_status_d,TableOutput,,['Select columns comes from DL'],['Update wt_order_set_code_d']
Replace Null values,IfNull,,['Update wt_order_set_code_d'],['Insert into wt_order_set_code_d']
Select columns comes from athena,SelectValues,,['Get Data from lt_order_type'],['Replace Null values']
Update wt_invoice_status_d,Update,,['Replace Null values'],['Select columns comes from athena']
